date,sku,manufacturer,name,salesRankShortTerm,salesRankMediumTerm,salesRankLongTerm,bestSellingRank,customerReviewAverage,customerReviewCount,image,url
2017_09_08,5768720,Samsung,"Samsung - 49"" Class (48.5"" Diag.) - LED - 1080p - Smart - HDTV",1628.0,1427.0,1132,1218,4.8,69.0,https://img.bbystatic.com/BestBuy_US/images/products/5768/5768720_sa.jpg,https://api.bestbuy.com/click/-/5768720/pdp
2017_09_08,5754303,Samsung,"Samsung - 55"" Class (54.6"" Diag.) - LED Curved - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range",1693.0,1278.0,1312,1334,4.7,163.0,https://img.bbystatic.com/BestBuy_US/images/products/5754/5754303_sa.jpg,https://api.bestbuy.com/click/-/5754303/pdp
2017_09_08,5792903,LG,"LG - 65"" Class (64.5"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV",1804.0,1319.0,1234,1287,4.8,29.0,https://img.bbystatic.com/BestBuy_US/images/products/5792/5792903_sa.jpg,https://api.bestbuy.com/click/-/5792903/pdp
2017_09_08,5900138,Sony,"Sony - 60"" Class (60"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV",1854.0,1506.0,1612,1589,4.0,1.0,https://img.bbystatic.com/BestBuy_US/images/products/5900/5900138_sa.jpg,https://api.bestbuy.com/click/-/5900138/pdp
2017_09_08,5803109,LG,"LG - 32"" Class (31.5"" Diag.) - LED - 720p - Smart - HDTV",1884.0,1700.0,1104,1267,4.8,49.0,https://img.bbystatic.com/BestBuy_US/images/products/5803/5803109_sa.jpg,https://api.bestbuy.com/click/-/5803109/pdp
2017_09_08,5773704,Samsung,"Samsung - 55"" Class (54.6"" Diag.) - LED - Curved - 2160p - Smart - 4K Ultra HD TV",2116.0,1551.0,1586,1608,4.7,203.0,https://img.bbystatic.com/BestBuy_US/images/products/5773/5773704_sa.jpg,https://api.bestbuy.com/click/-/5773704/pdp
2017_09_08,5871010,Samsung,"Samsung - 32"" Class (31.5"" Diag.) - LED - 720p - Smart - HDTV",2145.0,1891.0,2177,2104,5.0,1.0,https://img.bbystatic.com/BestBuy_US/images/products/5871/5871010_sa.jpg,https://api.bestbuy.com/click/-/5871010/pdp
2017_09_08,4904601,VIZIO,"VIZIO - 24"" Class (23.54"" Diag.) - LED - 1080p - Smart - HDTV",2151.0,2418.0,1358,1602,4.5,1319.0,https://img.bbystatic.com/BestBuy_US/images/products/4904/4904601_sa.jpg,https://api.bestbuy.com/click/-/4904601/pdp
2017_09_08,8040004,Samsung,"Samsung - 24"" Class (23-5/8"" Diag.) - LED - 720p - Smart - HDTV",2238.0,4761.0,4511,4358,4.5,2695.0,https://img.bbystatic.com/BestBuy_US/images/products/8040/8040004_sa.jpg,https://api.bestbuy.com/click/-/8040004/pdp
2017_09_08,5748204,Sony,"Sony - 49"" Class (48.5"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range",2266.0,1944.0,1832,1894,4.6,220.0,https://img.bbystatic.com/BestBuy_US/images/products/5748/5748204_sa.jpg,https://api.bestbuy.com/click/-/5748204/pdp
2017_09_08,5773708,Samsung,"Samsung - 65"" Class (64.5"" Diag.) - LED - Curved - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range",2295.0,1520.0,1436,1503,4.7,216.0,https://img.bbystatic.com/BestBuy_US/images/products/5773/5773708_sa.jpg,https://api.bestbuy.com/click/-/5773708/pdp
2017_09_08,5723390,LG,"LG - 24"" Class (23.8"" Diag.) - LED - 720p - Smart - HDTV",2321.0,1880.0,2109,2061,4.6,212.0,https://img.bbystatic.com/BestBuy_US/images/products/5723/5723390_sa.jpg,https://api.bestbuy.com/click/-/5723390/pdp
2017_09_08,5768600,Samsung,"Samsung - 49"" Class (48.5"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range",2324.0,1457.0,1294,1375,4.7,279.0,https://img.bbystatic.com/BestBuy_US/images/products/5768/5768600_sa.jpg,https://api.bestbuy.com/click/-/5768600/pdp
2017_09_08,5804403,LG,"LG - 55"" Class (54.6"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range",2362.0,2399.0,1577,1796,4.8,26.0,https://img.bbystatic.com/BestBuy_US/images/products/5804/5804403_sa.jpg,https://api.bestbuy.com/click/-/5804403/pdp
2017_09_08,5930900,LG,"LG - 60"" Class (59.9"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV",2363.0,760.0,1437,1196,4.5,58.0,https://img.bbystatic.com/BestBuy_US/images/products/5930/5930900_sa.jpg,https://api.bestbuy.com/click/-/5930900/pdp
2017_09_08,5875644,Sony,"Sony - 43"" Class (42.5"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV",2395.0,1828.0,1805,1856,4.6,27.0,https://img.bbystatic.com/BestBuy_US/images/products/5875/5875644_sa.jpg,https://api.bestbuy.com/click/-/5875644/pdp
2017_09_08,5634400,Westinghouse,"Westinghouse - 24"" Class (23.6"" Diag.) - LED - 720p - Smart - HDTV",2421.0,922.0,553,660,4.2,294.0,https://img.bbystatic.com/BestBuy_US/images/products/5634/5634400_sa.jpg,https://api.bestbuy.com/click/-/5634400/pdp
2017_09_08,5773701,Samsung,"Samsung - 55"" Class (54.6"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range",2453.0,1958.0,1946,1967,4.7,240.0,https://img.bbystatic.com/BestBuy_US/images/products/5773/5773701_sa.jpg,https://api.bestbuy.com/click/-/5773701/pdp
2017_09_08,5733203,Toshiba,"Toshiba - 55"" Class (54.6"" Diag.) - LED - 2160p - with Chromecast Built-in - 4K Ultra HD TV",2543.0,508.0,375,435,4.4,15.0,https://img.bbystatic.com/BestBuy_US/images/products/5733/5733203_sa.jpg,https://api.bestbuy.com/click/-/5733203/pdp
2017_09_08,5792902,LG,"LG - 65"" Class (64.5"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range",2569.0,2070.0,1955,2009,4.6,16.0,https://img.bbystatic.com/BestBuy_US/images/products/5792/5792902_sa.jpg,https://api.bestbuy.com/click/-/5792902/pdp
2017_09_08,5607100,Westinghouse,"Westinghouse - 50"" Class (49.5"" Diag.) - LED - 1080p - Smart - HDTV",2590.0,2225.0,1823,1957,4.2,637.0,https://img.bbystatic.com/BestBuy_US/images/products/5607/5607100_sa.jpg,https://api.bestbuy.com/click/-/5607100/pdp
2017_09_08,5748205,Sony,"Sony - 49"" Class (48.5"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range",2591.0,1884.0,1513,1649,4.7,154.0,https://img.bbystatic.com/BestBuy_US/images/products/5748/5748205_sa.jpg,https://api.bestbuy.com/click/-/5748205/pdp
2017_09_08,4801501,Sony,"Sony - 48"" Class (47.6"" Diag.) - LED - 1080p - Smart - HDTV",2667.0,1775.0,1775,1826,4.4,1031.0,https://img.bbystatic.com/BestBuy_US/images/products/4801/4801501_sa.jpg,https://api.bestbuy.com/click/-/4801501/pdp
